LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
"AL","ALABAMA","0103030","Shelby County","01588","Elvin Hill Elementary School","010303001588","DD",0,0,2,1,0,0,2,0,0,0,1,0,0,0,6,1,4,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0101800","Huntsville City","02425","Sonnie Hereford Elementary School","010180002425","DD",0,0,8,1,1,0,0,0,0,1,1,0,0,0,12,1,9,1,1,0,0,0,2,0,8,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0101020","Cullman County","00446","Vinemont Elementary School","010102000446","DD",0,0,0,1,0,0,6,0,0,0,0,0,0,1,8,0,7,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0101020","Cullman County","00414","Hanceville Elementary School","010102000414","DD",0,0,1,0,0,0,3,0,0,0,0,0,0,2,6,0,4,0,2,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0
"AL","ALABAMA","0100006","Marshall County","00877","Douglas Elementary School","010000600877","DD",0,0,0,2,0,0,1,0,0,0,1,0,0,0,4,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0103030","Shelby County","01822","Chelsea Park Elementary School","010303001822","DD",0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0103030","Shelby County","02199","Calera Intermediate School","010303002199","DD",0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0101800","Huntsville City","00620","Academy For Academics  Arts Elementary School","010180000620","DD",0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"AL","ALABAMA","0100600","Chambers County","00259","Five Points Elementary School","010060000259","DD",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0102070","Lee County","00284","Beauregard Elementary School","010207000284","DD",0,0,3,0,2,0,8,0,0,1,0,0,0,4,18,0,13,0,5,0,0,0,2,0,11,0,0,0,0,0,0,0,5,0,0
"AL","ALABAMA","0103030","Shelby County","01188","Wilsonville Elementary School","010303001188","DD",0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0101800","Huntsville City","00643","Ridgecrest Elementary School","010180000643","DD",0,0,1,4,0,0,2,0,0,0,1,0,0,2,10,4,3,1,2,0,0,0,2,2,3,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0100420","Blount County","01427","Locust Fork Elementary","010042001427","DD",0,0,0,0,0,0,6,0,0,0,0,0,0,3,9,0,6,0,3,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0103030","Shelby County","01804","Oak Mountain Elementary School","010303001804","DD",0,0,2,1,0,0,2,0,0,2,0,0,0,0,7,1,4,0,2,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0
"AL","ALABAMA","0101800","Huntsville City","01796","Williams Elementary School","010180001796","DD",0,0,1,2,1,0,1,0,0,1,0,0,0,1,7,1,4,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0101800","Huntsville City","00639","Monte Sano Elementary School","010180000639","DD",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100600","Chambers County","00264","Lafayette Lanier Elementary School","010060000264","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0103120","Sylacauga City","01594","Indian Valley Elementary School","010312001594","DD",0,0,6,1,0,0,9,0,0,2,0,0,0,3,21,1,15,1,4,0,0,0,4,0,12,0,0,0,0,0,3,1,1,0,0
"AL","ALABAMA","0101800","Huntsville City","00650","James Dawson Elementary","010180000650","DD",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0101320","Enterprise City","00480","Pinedale Elementary School","010132000480","DD",0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0101020","Cullman County","00373","Parkside Elementary School","010102000373","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0101320","Enterprise City","00478","Hillcrest Elementary School","010132000478","DD",0,0,4,0,0,0,5,0,0,0,1,0,0,0,10,0,9,0,1,0,0,0,4,1,4,0,0,0,0,0,1,0,0,0,0
